front_left,front_right,rear_left,rear_right,t
25.0,-35.0,25.0,-35.0,1776886718.471
25.0,-35.0,25.0,-35.0,1776886718.497
25.0,-35.0,25.0,-35.0,1776886718.511
25.0,-35.0,25.0,-35.0,1776886718.538
25.0,-35.0,25.0,-35.0,1776886718.551
21.0,-31.0,21.0,-31.0,1776886718.991
21.0,-31.0,21.0,-31.0,1776886719.017
21.0,-31.0,21.0,-31.0,1776886719.031
21.0,-31.0,21.0,-31.0,1776886719.058
21.0,-31.0,21.0,-31.0,1776886719.071
18.0,-31.0,18.0,-31.0,1776886719.498
18.0,-31.0,18.0,-31.0,1776886719.512
18.0,-31.0,18.0,-31.0,1776886719.538
18.0,-31.0,18.0,-31.0,1776886719.551
18.0,-31.0,18.0,-31.0,1776886719.577
19.0,-18.0,19.0,-18.0,1776886719.992
19.0,-18.0,19.0,-18.0,1776886720.018
19.0,-18.0,19.0,-18.0,1776886720.031
19.0,-18.0,19.0,-18.0,1776886720.058
19.0,-18.0,19.0,-18.0,1776886720.071
21.0,-18.0,21.0,-18.0,1776886720.497
21.0,-18.0,21.0,-18.0,1776886720.511
21.0,-18.0,21.0,-18.0,1776886720.537
21.0,-18.0,21.0,-18.0,1776886720.551
21.0,-18.0,21.0,-18.0,1776886720.577
27.0,-28.0,27.0,-28.0,1776886720.992
27.0,-28.0,27.0,-28.0,1776886721.018
27.0,-28.0,27.0,-28.0,1776886721.031
27.0,-28.0,27.0,-28.0,1776886721.057
27.0,-28.0,27.0,-28.0,1776886721.072
25.0,-25.0,25.0,-25.0,1776886721.497
25.0,-25.0,25.0,-25.0,1776886721.511
25.0,-25.0,25.0,-25.0,1776886721.531
25.0,-25.0,25.0,-25.0,1776886721.557
25.0,-25.0,25.0,-25.0,1776886721.571
21.0,-24.0,21.0,-24.0,1776886721.999
21.0,-24.0,21.0,-24.0,1776886722.012
21.0,-24.0,21.0,-24.0,1776886722.039
20.0,-18.0,20.0,-18.0,1776886722.051
20.0,-18.0,20.0,-18.0,1776886722.079
27.0,-17.0,27.0,-17.0,1776886722.511
27.0,-17.0,27.0,-17.0,1776886722.537
27.0,-17.0,27.0,-17.0,1776886722.551
27.0,-17.0,27.0,-17.0,1776886722.577
25.0,-19.0,25.0,-19.0,1776886722.591
27.0,-22.0,27.0,-22.0,1776886722.991
27.0,-24.0,27.0,-24.0,1776886723.017
27.0,-24.0,27.0,-24.0,1776886723.031
27.0,-24.0,27.0,-24.0,1776886723.058
27.0,-24.0,27.0,-24.0,1776886723.071
25.0,-23.0,25.0,-23.0,1776886723.497
25.0,-23.0,25.0,-23.0,1776886723.511
25.0,-23.0,25.0,-23.0,1776886723.538
22.0,-23.0,22.0,-23.0,1776886723.551
22.0,-23.0,22.0,-23.0,1776886723.572
16.0,-23.0,16.0,-23.0,1776886723.991
16.0,-23.0,16.0,-23.0,1776886724.02
16.0,-23.0,16.0,-23.0,1776886724.031
16.0,-23.0,16.0,-23.0,1776886724.058
16.0,-23.0,16.0,-23.0,1776886724.071
13.0,-31.0,13.0,-31.0,1776886724.517
13.0,-31.0,13.0,-31.0,1776886724.531
13.0,-31.0,13.0,-31.0,1776886724.559
13.0,-31.0,13.0,-31.0,1776886724.571
11.0,-33.0,11.0,-33.0,1776886724.592
