step,source_index,timestamp,relative_time_sec,image,control_index,telemetry_index,control_timestamp,control_relative_time_sec,telemetry_timestamp,telemetry_relative_time_sec,linear,angular,orientation,speed,battery,signal_level,gps_signal,latitude,longitude,vibration
65,780,1776901455.586104,390.0659759044647,000065.png,,780,,,1776887055.445,390.09299993515015,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
66,792,1776901461.587173,396.0670449733734,000066.png,,792,,,1776887061.413,396.0610001087189,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
67,804,1776901467.587769,402.06764101982117,000067.png,,804,,,1776887067.54,402.1879999637604,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
68,816,1776901473.617894,408.0977659225464,000068.png,,816,,,1776887072.979,407.6270000934601,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
69,828,1776901479.590833,414.0707049369812,000069.png,,828,,,1776887079.401,414.04900002479553,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
70,840,1776901485.591413,420.07128500938416,000070.png,,840,,,1776887085.583,420.23099994659424,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
71,852,1776901491.592655,426.0725269317627,000071.png,,852,,,1776887091.528,426.1760001182556,,,87.0,0.0,100.0,0.0,33.75,1000.0,1000.0,0.0
72,864,1776901497.593082,432.07295393943787,000072.png,,864,,,1776887097.58,432.2279999256134,,,87.0,0.0,100.0,0.0,31.0,1000.0,1000.0,0.0
73,876,1776901503.594474,438.07434606552124,000073.png,,876,,,1776887103.117,437.7650001049042,,,88.0,0.0,100.0,0.0,31.25,1000.0,1000.0,0.0
74,888,1776901509.595658,444.07553005218506,000074.png,,889,,,1776887109.628,444.2760000228882,,,87.0,0.0,100.0,0.0,32.75,1000.0,1000.0,0.0
75,900,1776901515.596935,450.0768070220947,000075.png,,901,,,1776887115.653,450.3010001182556,,,88.0,0.0,100.0,0.0,32.5,1000.0,1000.0,0.0
76,912,1776901521.598153,456.07802510261536,000076.png,,913,,,1776887121.656,456.30399990081787,,,87.0,0.0,100.0,0.0,32.25,1000.0,1000.0,0.0
77,924,1776901527.59904,462.0789120197296,000077.png,,924,,,1776887127.21,461.8580000400543,,,87.0,0.0,100.0,0.0,32.0,1000.0,1000.0,0.0
78,936,1776901533.600603,468.0804750919342,000078.png,,936,,,1776887133.244,467.8919999599457,,,87.0,0.0,100.0,0.0,34.0,1000.0,1000.0,0.0
79,948,1776901539.60235,474.0822219848633,000079.png,,948,,,1776887139.234,473.8819999694824,,,102.0,1.2400000095367432,100.0,0.0,34.0,1000.0,1000.0,0.0
80,960,1776901545.602951,480.0828230381012,000080.png,,960,,,1776887145.256,479.904000043869,,,101.0,0.5299999713897705,100.0,0.0,34.0,1000.0,1000.0,0.0
81,972,1776901551.603836,486.0837080478668,000081.png,,972,,,1776887151.35,485.9979999065399,,,101.0,1.2599999904632568,100.0,0.0,34.0,1000.0,1000.0,0.0
82,984,1776901557.605094,492.08496594429016,000082.png,,984,,,1776887157.323,491.970999956131,,,101.0,0.0,100.0,0.0,33.25,1000.0,1000.0,0.0
