front_left,front_right,rear_left,rear_right,t
-174.0,-175.0,-174.0,-175.0,1776887537.691
-174.0,-175.0,-174.0,-175.0,1776887537.711
-174.0,-175.0,-174.0,-175.0,1776887537.737
-174.0,-175.0,-174.0,-175.0,1776887537.753
-174.0,-175.0,-174.0,-175.0,1776887537.779
-131.0,130.0,-131.0,130.0,1776887538.197
-131.0,130.0,-131.0,130.0,1776887538.211
-131.0,130.0,-131.0,130.0,1776887538.232
-131.0,130.0,-131.0,130.0,1776887538.258
-131.0,130.0,-131.0,130.0,1776887538.271
-92.0,93.0,-92.0,93.0,1776887538.711
-92.0,93.0,-92.0,93.0,1776887538.738
-92.0,93.0,-92.0,93.0,1776887538.751
-92.0,93.0,-92.0,93.0,1776887538.777
-92.0,93.0,-92.0,93.0,1776887538.791
-76.0,79.0,-76.0,79.0,1776887539.193
-78.0,82.0,-78.0,82.0,1776887539.219
-78.0,82.0,-78.0,82.0,1776887539.232
-78.0,82.0,-78.0,82.0,1776887539.257
-78.0,82.0,-78.0,82.0,1776887539.271
-63.0,67.0,-63.0,67.0,1776887539.718
-63.0,67.0,-63.0,67.0,1776887539.731
-63.0,67.0,-63.0,67.0,1776887539.763
-63.0,67.0,-63.0,67.0,1776887539.773
-55.0,58.0,-55.0,58.0,1776887539.8
-33.0,33.0,-33.0,33.0,1776887540.218
-33.0,33.0,-33.0,33.0,1776887540.241
-33.0,33.0,-33.0,33.0,1776887540.252
-33.0,33.0,-33.0,33.0,1776887540.271
-25.0,25.0,-25.0,25.0,1776887540.298
-1.0,0.0,-1.0,0.0,1776887540.711
-1.0,0.0,-1.0,0.0,1776887540.737
-1.0,0.0,-1.0,0.0,1776887540.751
-1.0,0.0,-1.0,0.0,1776887540.779
-1.0,0.0,-1.0,0.0,1776887540.791
0.0,0.0,0.0,0.0,1776887541.217
0.0,0.0,0.0,0.0,1776887541.232
0.0,0.0,0.0,0.0,1776887541.257
0.0,0.0,0.0,0.0,1776887541.271
0.0,0.0,0.0,0.0,1776887541.301
0.0,0.0,0.0,0.0,1776887541.731
0.0,0.0,0.0,0.0,1776887541.759
0.0,0.0,0.0,0.0,1776887541.771
0.0,0.0,0.0,0.0,1776887541.797
0.0,0.0,0.0,0.0,1776887541.811
0.0,0.0,0.0,0.0,1776887542.231
0.0,0.0,0.0,0.0,1776887542.259
0.0,0.0,0.0,0.0,1776887542.271
0.0,0.0,0.0,0.0,1776887542.298
0.0,0.0,0.0,0.0,1776887542.311
0.0,0.0,0.0,0.0,1776887542.738
0.0,0.0,0.0,0.0,1776887542.751
0.0,0.0,0.0,0.0,1776887542.777
0.0,0.0,0.0,0.0,1776887542.791
0.0,0.0,0.0,0.0,1776887542.819
19.0,19.0,19.0,19.0,1776887543.231
19.0,19.0,19.0,19.0,1776887543.257
19.0,19.0,19.0,19.0,1776887543.271
19.0,19.0,19.0,19.0,1776887543.297
19.0,19.0,19.0,19.0,1776887543.311
16.0,17.0,16.0,17.0,1776887544.231
16.0,17.0,16.0,17.0,1776887544.257
9.0,10.0,9.0,10.0,1776887544.271
9.0,10.0,9.0,10.0,1776887544.297
9.0,10.0,9.0,10.0,1776887544.311
24.0,19.0,24.0,19.0,1776887545.231
24.0,19.0,24.0,19.0,1776887545.257
